Date,EEM,EFA,GLD,QQQ,SPY,TLT
2010-01-04,70761600,18556900,16224100,62822800,118944600,2829100
2010-01-05,50196300,14352800,14213100,62935600,111579900,2841600
2010-01-06,50670000,11888100,24981900,96033000,116074400,4099600
2010-01-07,41803700,10906600,13609800,77094100,131091100,2793200
2010-01-08,41118100,12826500,15894600,88886600,126402800,2910700
2010-01-11,42546400,12387500,17253000,104673400,106375700,2181300
2010-01-12,65902300,19029700,29182600,90673900,163333500,4321200
2010-01-13,48040100,15446600,20014000,100661000,161822000,4755000
2010-01-14,52893800,13362600,18305300,75209000,115718800,4188800
2010-01-15,76681800,19281700,18002700,126849300,212283100,4142800
2010-01-19,57597300,17507700,10468200,84388200,139172700,2496000
2010-01-20,78934700,24510100,17535000,145680000,216490200,2800500
2010-01-21,116104300,22979100,25748400,204939600,344859600,4363100
2010-01-22,108173800,27432500,24210100,171098700,345942400,3666900
2010-01-25,86170400,20242700,13200500,154218700,186937500,2419500
2010-01-26,89832400,22135300,12297100,140816500,211168800,3138100
2010-01-27,91623300,27156000,19005100,161632700,271863600,3325700
2010-01-28,98086600,26142600,16793900,221439800,316104000,3058200
2010-01-29,151695100,28917200,20278800,212099600,310677600,4930600
2010-02-01,81928100,23123800,14901900,136827100,187865000,3598500
2010-02-02,86791200,19720200,14292200,110727700,216327900,3047500
2010-02-03,64323800,20225900,13393200,93581600,172730700,5343700
2010-02-04,131791500,32202200,39991900,151652500,356715700,6095000
2010-02-05,165899900,43046100,32656700,213618600,493585800,6875800
2010-02-08,78752400,19238000,17176600,94354400,224166900,3386000
2010-02-09,133342000,30811800,25959200,118956000,337820500,4790000
2010-02-10,84646000,23502500,16215200,94102900,240511500,5068000
2010-02-11,90206600,19397300,19350100,93050800,223591600,5087500
2010-02-12,63053000,18994900,14464200,93938500,304622100,2833800
2010-02-16,73196700,19592800,20895700,83861400,159317500,2440900
2010-02-17,63631100,19682000,19593400,82691700,168845100,4368200
2010-02-18,61597600,13747600,19177400,65752600,193708600,5121800
2010-02-19,77264800,16069000,21928700,80416500,222684900,3502500
2010-02-22,56446600,14422100,10742800,72055000,132346900,3382600
2010-02-23,103220800,18038800,13629600,95814400,207497000,5474500
2010-02-24,73043700,15789800,17207400,86591000,176350700,4423200
2010-02-25,73641500,18544400,23400400,97961300,259634700,3707700
2010-02-26,65727300,19714200,13033900,66222400,173589300,4349100
2010-03-01,73146100,14774400,12830900,77290100,147709700,2415200
2010-03-02,66353000,14135700,20102200,76368500,160992400,2260600
2010-03-03,68779900,15292400,16222100,65735500,150785000,2156100
2010-03-04,61065500,12645600,12944800,54470900,135770400,2374700
2010-03-05,78177700,18656300,11091400,68136300,176118800,3823200
2010-03-08,56724000,11336100,12753800,58712400,114631200,2850400
2010-03-09,66759800,15356500,12650800,98002800,154556700,2573700
2010-03-10,73994500,13641100,21982100,102578900,186088800,3216200
2010-03-11,42415700,13015300,9513300,67510300,160791100,2621000
2010-03-12,48949200,11743300,11849000,64068300,162074800,3099100
2010-03-15,43560300,10182300,7698600,60150500,146816800,1936800
2010-03-16,58417000,15718300,17749300,74950600,168673000,3932600
2010-03-17,72017100,17400500,13784300,75643500,177468100,3481200
2010-03-18,73867900,15899600,13848400,77829400,196509100,2750300
2010-03-19,65993900,17819700,24329100,86337100,226641100,2976300
2010-03-22,57583400,17473800,11579400,71902800,184477800,2452300
2010-03-23,50528500,15533000,11274400,59182600,182941600,2910000
2010-03-24,65081100,18234000,14236700,62995700,196072600,8049300
2010-03-25,72397600,18633000,16866700,76294800,223396300,8268400
2010-03-26,69798700,23466200,17433600,78067900,205808500,4110700
2010-03-29,57961300,13605700,11527000,57993300,134513500,3245100
2010-03-30,50327500,16768000,9817700,49437300,145772500,3254600
2010-03-31,52858500,22702600,14006800,59947400,161078700,4263900
2010-04-01,96281100,20493900,11370500,83728600,161215200,2912400
2010-04-05,63633700,14434000,8207900,56220300,105847600,5652000
2010-04-06,42926300,15025700,10322300,54097100,110384200,3584600
2010-04-07,55642000,19574500,19139500,77211500,184576300,6389900
2010-04-08,52083200,13853000,12445400,68314300,158704000,3797600
2010-04-09,46651000,17131200,16427800,54227300,133006500,2311300
