Date,Portfolio_Value
2024-04-15,1002.65826
2024-04-16,994.68365
2024-04-17,998.7407
2024-04-18,992.5855
2024-04-19,994.5439
2024-04-22,997.0622
2024-04-23,987.1292
2024-04-24,980.83386
2024-04-25,993.84454
2024-04-26,980.4141
2024-04-29,968.9427
2024-04-30,969.9218
2024-05-01,968.9426
2024-05-02,973.6991
2024-05-03,984.3316
2024-05-06,975.2378
2024-05-07,977.4763
2024-05-08,965.8646
2024-05-09,981.1135
2024-05-10,968.24304
2024-05-13,970.2014
2024-05-14,966.2843
2024-05-15,971.7404
2024-05-16,971.1807
2024-05-17,982.09296
2024-05-20,991.6061
2024-05-21,989.368
2024-05-22,990.90674
2024-05-23,990.90674
2024-05-24,988.8083
2024-05-27,990.34717
2024-05-28,991.3265
2024-05-29,995.52313
2024-05-30,998.3213
2024-05-31,1002.79816
2024-06-03,1007.69464
2024-06-04,999.16064
2024-06-05,981.953
2024-06-06,975.65765
2024-06-07,967.9632
2024-06-10,970.48145
2024-06-11,971.88025
2024-06-12,974.25854
2024-06-13,988.38824
2024-06-14,991.60596
2024-06-17,990.17615
2024-06-18,1011.5506
2024-06-19,955.07056
2024-06-20,933.6958
2024-06-21,951.9564
2024-06-24,972.9068
2024-06-25,981.39984
2024-06-26,984.08936
2024-06-27,984.08936
2024-06-28,972.4818
2024-07-01,974.7468
2024-07-02,972.48175
2024-07-03,987.48676
2024-07-04,994.4228
2024-07-05,1006.0302
2024-07-08,1007.3041
2024-07-09,1011.55035
2024-07-10,1008.578
2024-07-11,1010.8431
2024-07-12,1009.4275
2024-07-15,1012.4003
2024-07-16,1011.5505
2024-07-17,1013.9573
2024-07-18,1012.96643
2024-07-19,1014.8069
2024-07-22,1011.69275
2024-07-23,1016.3641
2024-07-24,1022.16754
2024-07-25,1017.63806
2024-07-26,1013.24976
2024-07-29,1010.7017
2024-07-30,1013.24976
2024-07-31,1020.4688
2024-08-01,1022.7337
2024-08-02,1027.2637
2024-08-05,1024.7155
2024-08-06,1032.9258
2024-08-07,1032.3596
2024-08-08,1035.1906
2024-08-09,1032.2179
2024-08-12,1033.2086
2024-08-13,1036.04
2024-08-14,1032.3597
2024-08-15,1030.5193
